(2004,1,15,710,SYR)
(2004,1,16,710,SYR)
(2004,1,17,710,SYR)
(2004,1,18,710,SYR)
(2004,1,19,710,SYR)
(2004,1,20,710,SYR)
(2004,1,21,710,SYR)
(2004,1,22,710,SYR)
(2004,1,23,710,SYR)
(2004,1,24,710,SYR)
(2004,1,25,710,SYR)
(2004,1,26,710,SYR)
(2004,1,27,710,SYR)
(2004,1,28,710,SYR)
(2004,1,29,710,SYR)
(2004,1,30,710,SYR)
(2004,1,31,710,SYR)
(2004,1,1,715,SYR)
(2004,1,2,715,SYR)
(2004,1,3,715,SYR)
(2004,1,1,725,SYR)
(2004,1,2,725,SYR)
(2004,1,5,725,SYR)
(2004,1,6,725,SYR)
(2004,1,7,725,SYR)
(2004,1,8,725,SYR)
(2004,1,9,725,SYR)
(2004,1,10,725,SYR)
(2004,1,12,725,SYR)
(2004,1,13,725,SYR)
(2004,1,14,725,SYR)
(2004,1,15,725,SYR)
(2004,1,16,725,SYR)
(2004,1,17,725,SYR)
(2004,1,19,725,SYR)
(2004,1,20,725,SYR)
(2004,1,21,725,SYR)
(2004,1,22,725,SYR)
(2004,1,23,725,SYR)
(2004,1,24,725,SYR)
(2004,1,26,725,SYR)
(2004,1,27,725,SYR)
(2004,1,28,725,SYR)
(2004,1,29,725,SYR)
(2004,1,30,725,SYR)
(2004,1,31,725,SYR)
(2004,1,3,725,SYR)
(2004,1,1,1610,SYR)
(2004,1,2,1610,SYR)
(2004,1,3,1610,SYR)
(2004,1,4,1610,SYR)
(2004,1,5,1610,SYR)
(2004,1,1,1240,SYR)
(2004,1,2,1240,SYR)
(2004,1,3,1240,SYR)
(2004,1,4,1240,SYR)
(2004,1,5,1240,SYR)
(2004,1,6,1240,SYR)
(2004,1,7,1240,SYR)
(2004,1,8,1240,SYR)
(2004,1,9,1240,SYR)
(2004,1,10,1240,SYR)
(2004,1,11,1240,SYR)
(2004,1,12,1240,SYR)
(2004,1,13,1240,SYR)
(2004,1,14,1240,SYR)
(2004,1,15,1240,SYR)
(2004,1,16,1240,SYR)
(2004,1,17,1240,SYR)
(2004,1,18,1240,SYR)
(2004,1,19,1240,SYR)
(2004,1,20,1240,SYR)
(2004,1,21,1240,SYR)
(2004,1,22,1240,SYR)
(2004,1,23,1240,SYR)
(2004,1,24,1240,SYR)
(2004,1,25,1240,SYR)
(2004,1,26,1240,SYR)
(2004,1,27,1240,SYR)
(2004,1,28,1240,SYR)
(2004,1,29,1240,SYR)
(2004,1,30,1240,SYR)
(2004,1,31,1240,SYR)
(2004,1,1,620,SYR)
(2004,1,2,620,SYR)
(2004,1,3,620,SYR)
(2004,1,4,620,SYR)
(2004,1,5,620,SYR)
(2004,1,1,925,SYR)
(2004,1,2,925,SYR)
(2004,1,3,925,SYR)
(2004,1,4,925,SYR)
(2004,1,5,925,SYR)
(2004,1,6,919,SYR)
(2004,1,7,919,SYR)
(2004,1,8,919,SYR)
(2004,1,9,919,SYR)
(2004,1,10,919,SYR)
(2004,1,11,919,SYR)
(2004,1,12,919,SYR)
(2004,1,13,919,SYR)
(2004,1,14,919,SYR)
(2004,1,15,919,SYR)
